Generate examples,,Base Question,Instruction,Context,Input Data,Output indicator,Final Query
,Prompting pattern,,,,,,
1,Base line without context,How can recursion be used to caculate powers? ,Write a piece of code that uses recursion to calculate powers. ,,Write the code in python and use recursion. ,"Return a self contained function that given an input of a base and a power calculates the result. Make sure the code is correct, nicely formatted and commented. ","Write a piece of code that uses recursion to calculate powers. Write the code in python and use recursion. Return a self contained function that given an input of a base and a power calculates the result. Make sure the code is correct, nicely formatted and commented. "
2,Base line context,,Write a piece of code that uses recursion to calculate powers. ,"Make sure the code only requires knowledge of basic concepts up to recursion. 
",Write the code in python and use recursion. ,"Return a self contained function that given an input of a base and a power calculates the result. Make sure the code is correct, nicely formatted and commented. ","Write a piece of code that uses recursion to calculate powers. Make sure the code only requires knowledge of basic concepts up to recursion. 
Write the code in python and use recursion. Return a self contained function that given an input of a base and a power calculates the result. Make sure the code is correct, nicely formatted and commented. "
3,Chain-of-thought / few shot learning,,Write a piece of code that uses recursion to calculate powers. ,"Make sure the code only requires knowledge of basic concepts up to recursion. 
",Write the code in python and use recursion. ,"Return a self contained function that given an input of a base and a power calculates the result. Make sure the code is correct, nicely formatted and commented. ","Write a piece of code that uses recursion to calculate powers. Make sure the code only requires knowledge of basic concepts up to recursion. 
Write the code in python and use recursion. Return a self contained function that given an input of a base and a power calculates the result. Make sure the code is correct, nicely formatted and commented. "
4,Context manager pattern,,Write a piece of code that uses recursion to calculate powers. ,"Make sure the code only requires knowledge of basic concepts up to recursion. 
These basic concepts are:  
- Programming basics
- Variables
- Input
- Arithmetic Expressions
- Boolean Expressions
- If-Else
- Nested If
- Elif
- For Loop
- While Loop
- Range function
- Nested Loop
- Functions
- Values and References
- String formatting
- String operations
- Python Lists 1,2
- Python Dictionaries
- Recursion
Exclude any advanced concepts like: 
- File handling
- Exception handling
- Regular expressions
",Write the code in python and use recursion. ,"Return a self contained function that given an input of a base and a power calculates the result. Make sure the code is correct, nicely formatted and commented. ","Write a piece of code that uses recursion to calculate powers. Make sure the code only requires knowledge of basic concepts up to recursion. 
These basic concepts are:  
- Programming basics
- Variables
- Input
- Arithmetic Expressions
- Boolean Expressions
- If-Else
- Nested If
- Elif
- For Loop
- While Loop
- Range function
- Nested Loop
- Functions
- Values and References
- String formatting
- String operations
- Python Lists 1,2
- Python Dictionaries
- Recursion
Exclude any advanced concepts like: 
- File handling
- Exception handling
- Regular expressions
Write the code in python and use recursion. Return a self contained function that given an input of a base and a power calculates the result. Make sure the code is correct, nicely formatted and commented. "
5,Base line without context,How can recursion be used to loop over a list?,Write a piece of code that uses recursion to loop over a list. ,,Write the code in python and use recursion. ,"Return a self contained function that given an input list loops over a list. Make sure the code is correct, nicely formatted and commented. ","Write a piece of code that uses recursion to loop over a list. Write the code in python and use recursion. Return a self contained function that given an input list loops over a list. Make sure the code is correct, nicely formatted and commented. "
6,Base line context,,Write a piece of code that uses recursion to loop over a list. ,"Make sure the code only requires knowledge of basic concepts up to recursion. 
",Write the code in python and use recursion. ,"Return a self contained function that given an input list loops over a list. Make sure the code is correct, nicely formatted and commented. ","Write a piece of code that uses recursion to loop over a list. Make sure the code only requires knowledge of basic concepts up to recursion. 
Write the code in python and use recursion. Return a self contained function that given an input list loops over a list. Make sure the code is correct, nicely formatted and commented. "
7,Chain-of-thought / few shot learning,,Write a piece of code that uses recursion to loop over a list. ,"Make sure the code only requires knowledge of basic concepts up to recursion. 
",Write the code in python and use recursion. ,"Return a self contained function that given an input list loops over a list. Make sure the code is correct, nicely formatted and commented. ","Write a piece of code that uses recursion to loop over a list. Make sure the code only requires knowledge of basic concepts up to recursion. 
Write the code in python and use recursion. Return a self contained function that given an input list loops over a list. Make sure the code is correct, nicely formatted and commented. "
8,Context manager pattern,,Write a piece of code that uses recursion to loop over a list. ,"Make sure the code only requires knowledge of basic concepts up to recursion. 
These basic concepts are:  
- Programming basics
- Variables
- Input
- Arithmetic Expressions
- Boolean Expressions
- If-Else
- Nested If
- Elif
- For Loop
- While Loop
- Range function
- Nested Loop
- Functions
- Values and References
- String formatting
- String operations
- Python Lists 1,2
- Python Dictionaries
- Recursion
Exclude any advanced concepts like: 
- File handling
- Exception handling
- Regular expressions
",Write the code in python and use recursion. ,"Return a self contained function that given an input list loops over a list. Make sure the code is correct, nicely formatted and commented. ","Write a piece of code that uses recursion to loop over a list. Make sure the code only requires knowledge of basic concepts up to recursion. 
These basic concepts are:  
- Programming basics
- Variables
- Input
- Arithmetic Expressions
- Boolean Expressions
- If-Else
- Nested If
- Elif
- For Loop
- While Loop
- Range function
- Nested Loop
- Functions
- Values and References
- String formatting
- String operations
- Python Lists 1,2
- Python Dictionaries
- Recursion
Exclude any advanced concepts like: 
- File handling
- Exception handling
- Regular expressions
Write the code in python and use recursion. Return a self contained function that given an input list loops over a list. Make sure the code is correct, nicely formatted and commented. "
Explain Example code,,Base Question,Instruction,Context,Input Data,Output Indicator,Final Query
